;BA;SPXT
21.09.2010;64.23;1905.74
22.09.2010;63.90;1896.77
23.09.2010;62.65;1880.97
24.09.2010;64.60;1920.84
27.09.2010;63.89;1909.98
28.09.2010;64.52;1919.59
29.09.2010;65.97;1914.84
30.09.2010;66.54;1908.95
01.10.2010;66.83;1917.42
04.10.2010;66.33;1902.15
05.10.2010;68.60;1941.82
06.10.2010;68.58;1941.50
07.10.2010;68.46;1938.31
08.10.2010;69.23;1950.18
11.10.2010;69.99;1950.47
12.10.2010;70.22;1957.92
13.10.2010;71.47;1972.08
14.10.2010;71.36;1964.90
15.10.2010;70.11;1968.87
18.10.2010;70.23;1983.17
19.10.2010;69.05;1951.67
20.10.2010;71.36;1972.51
21.10.2010;71.50;1976.12
22.10.2010;71.26;1980.83
25.10.2010;71.66;1985.11
26.10.2010;71.30;1985.13
27.10.2010;70.86;1980.05
28.10.2010;71.27;1982.45
29.10.2010;70.64;1981.59
01.11.2010;70.48;1983.47
02.11.2010;69.78;1998.86
03.11.2010;68.94;2006.58
04.11.2010;70.85;2045.62
05.11.2010;71.27;2053.77
08.11.2010;70.21;2049.69
09.11.2010;69.25;2033.85
10.11.2010;67.07;2043.16
11.11.2010;65.37;2034.48
12.11.2010;63.09;2010.57
15.11.2010;63.61;2008.25
16.11.2010;62.78;1976.26
17.11.2010;62.50;1977.00
18.11.2010;64.61;2007.38
19.11.2010;63.59;2012.59
22.11.2010;64.03;2009.52
23.11.2010;63.60;1980.89
24.11.2010;65.41;2010.56
26.11.2010;64.80;1996.03
29.11.2010;64.36;1993.83
30.11.2010;63.77;1981.84
01.12.2010;65.72;2024.97
02.12.2010;66.59;2050.96
03.12.2010;66.54;2056.40
06.12.2010;66.59;2053.80
07.12.2010;66.23;2054.89
08.12.2010;65.18;2063.03
09.12.2010;64.61;2071.12
10.12.2010;64.16;2083.57
13.12.2010;63.79;2084.00
14.12.2010;64.49;2085.93
15.12.2010;64.24;2075.29
16.12.2010;64.40;2088.19
17.12.2010;65.03;2089.95
20.12.2010;63.27;2095.32
21.12.2010;64.19;2108.26
22.12.2010;64.61;2115.69
23.12.2010;65.06;2112.37
27.12.2010;64.75;2113.67
28.12.2010;64.86;2115.32
29.12.2010;65.05;2117.83
30.12.2010;65.01;2114.70
31.12.2010;65.26;2114.29
03.01.2011;66.40;2138.30
04.01.2011;66.94;2135.53
05.01.2011;67.48;2146.50
06.01.2011;68.80;2142.76
07.01.2011;69.38;2138.81
10.01.2011;69.09;2135.86
11.01.2011;68.96;2143.82
12.01.2011;70.15;2163.36
13.01.2011;69.83;2159.66
14.01.2011;70.07;2175.68
18.01.2011;72.47;2178.72
19.01.2011;71.73;2156.97
20.01.2011;71.12;2154.18
21.01.2011;71.68;2159.43
24.01.2011;72.73;2172.03
25.01.2011;72.24;2172.67
26.01.2011;70.02;2181.92
27.01.2011;70.56;2186.93
28.01.2011;69.23;2147.95
31.01.2011;69.48;2164.40
01.02.2011;70.29;2200.54
02.02.2011;71.00;2194.94
03.02.2011;70.98;2200.42
04.02.2011;71.38;2206.80
07.02.2011;71.93;2220.60
08.02.2011;72.71;2230.59
09.02.2011;72.63;2224.64
10.02.2011;72.66;2226.51
11.02.2011;72.14;2239.08
14.02.2011;72.26;2244.89
15.02.2011;71.40;2237.90
16.02.2011;72.48;2252.30
17.02.2011;72.24;2259.42
18.02.2011;73.04;2263.79
22.02.2011;70.93;2217.35
23.02.2011;70.23;2203.89
24.02.2011;70.76;2202.23
25.02.2011;72.30;2226.05
28.02.2011;72.01;2238.55
01.03.2011;70.12;2203.32
02.03.2011;69.57;2207.24
03.03.2011;71.71;2245.33
04.03.2011;71.80;2228.78
07.03.2011;70.88;2210.26
08.03.2011;72.04;2230.40
09.03.2011;72.09;2227.70
10.03.2011;71.29;2185.65
11.03.2011;71.64;2201.81
14.03.2011;70.74;2188.56
15.03.2011;69.69;2164.06
16.03.2011;67.69;2121.94
17.03.2011;68.30;2150.43
18.03.2011;69.10;2159.69
21.03.2011;71.20;2192.09
22.03.2011;71.85;2184.57
23.03.2011;72.72;2190.96
24.03.2011;72.76;2211.42
25.03.2011;73.34;2218.42
28.03.2011;73.30;2212.32
29.03.2011;73.62;2228.41
30.03.2011;73.80;2243.55
31.03.2011;73.93;2239.44
01.04.2011;74.01;2250.58
04.04.2011;73.95;2251.64
05.04.2011;73.23;2251.26
06.04.2011;73.72;2257.11
07.04.2011;74.29;2253.76
08.04.2011;73.47;2244.74
11.04.2011;73.76;2238.51
12.04.2011;73.08;2221.12
13.04.2011;72.13;2221.77
14.04.2011;72.30;2221.99
15.04.2011;72.60;2230.71
18.04.2011;72.79;2206.15
19.04.2011;73.15;2218.86
20.04.2011;75.07;2248.90
21.04.2011;75.44;2260.84
25.04.2011;74.90;2257.24
26.04.2011;75.55;2277.51
27.04.2011;76.12;2292.13
28.04.2011;78.55;2300.46
29.04.2011;79.78;2305.76
02.05.2011;79.53;2301.72
03.05.2011;79.51;2293.95
04.05.2011;78.84;2278.63
05.05.2011;78.45;2258.08
06.05.2011;79.31;2266.97
09.05.2011;79.64;2277.30
10.05.2011;79.95;2295.72
11.05.2011;79.08;2271.47
12.05.2011;79.41;2282.84
13.05.2011;79.03;2264.52
16.05.2011;77.77;2250.61
17.05.2011;76.68;2250.35
18.05.2011;77.14;2270.57
19.05.2011;78.02;2275.71
20.05.2011;77.52;2258.21
23.05.2011;76.28;2231.31
24.05.2011;75.57;2229.49
25.05.2011;76.32;2236.75
26.05.2011;76.66;2246.13
27.05.2011;76.99;2255.74
31.05.2011;78.03;2279.66
01.06.2011;75.35;2227.96
02.06.2011;75.69;2225.36
03.06.2011;74.84;2203.81
06.06.2011;74.58;2180.14
07.06.2011;74.18;2178.15
08.06.2011;73.85;2169.50
09.06.2011;74.18;2185.52
10.06.2011;72.69;2155.00
13.06.2011;72.94;2157.15
14.06.2011;74.64;2184.48
15.06.2011;73.85;2146.45
16.06.2011;74.01;2150.58
17.06.2011;74.16;2157.14
20.06.2011;74.52;2168.80
21.06.2011;73.98;2198.15
22.06.2011;72.12;2184.03
23.06.2011;71.25;2177.85
24.06.2011;71.26;2152.31
27.06.2011;71.62;2172.08
28.06.2011;72.09;2200.68
29.06.2011;72.72;2219.20
30.06.2011;73.93;2241.66
01.07.2011;74.27;2274.26
05.07.2011;74.15;2271.29
06.07.2011;74.74;2274.42
07.07.2011;75.99;2298.31
08.07.2011;75.07;2282.32
11.07.2011;73.35;2241.07
12.07.2011;71.93;2231.15
13.07.2011;72.17;2238.29
14.07.2011;71.19;2223.29
15.07.2011;71.28;2235.65
18.07.2011;69.55;2217.55
19.07.2011;70.53;2253.71
20.07.2011;72.07;2252.52
21.07.2011;72.89;2283.23
22.07.2011;72.67;2285.34
25.07.2011;71.31;2272.47
26.07.2011;70.16;2263.15
27.07.2011;70.63;2217.29
28.07.2011;70.66;2210.33
29.07.2011;70.47;2196.08
01.08.2011;70.33;2187.00
02.08.2011;67.70;2131.10
03.08.2011;67.34;2142.56
04.08.2011;63.09;2040.20
05.08.2011;62.75;2039.04
08.08.2011;58.71;1903.47
09.08.2011;62.34;1993.76
10.08.2011;57.41;1906.53
11.08.2011;58.85;1995.14
12.08.2011;61.75;2005.67
15.08.2011;62.70;2049.51
16.08.2011;62.23;2029.92
17.08.2011;62.18;2032.41
18.08.2011;58.93;1941.92
19.08.2011;57.54;1912.77
22.08.2011;58.38;1913.27
23.08.2011;60.77;1978.89
24.08.2011;61.69;2005.13
25.08.2011;61.10;1973.96
26.08.2011;62.80;2004.11
29.08.2011;64.60;2061.05
30.08.2011;66.03;2066.37
31.08.2011;66.86;2076.78
01.09.2011;66.05;2052.30
02.09.2011;64.03;2000.50
06.09.2011;62.77;1985.67
07.09.2011;64.90;2043.05
08.09.2011;62.81;2021.42
09.09.2011;61.79;1967.47
12.09.2011;62.39;1981.30
13.09.2011;62.85;2000.08
14.09.2011;63.03;2027.04
15.09.2011;64.32;2062.25
16.09.2011;65.38;2074.06
19.09.2011;64.15;2053.74
20.09.2011;63.56;2050.39
21.09.2011;61.02;1990.20
22.09.2011;58.72;1926.76
23.09.2011;59.51;1938.73
26.09.2011;62.01;1983.97
27.09.2011;62.78;2005.19
28.09.2011;61.92;1964.20
29.09.2011;62.37;1980.23
30.09.2011;60.51;1930.79
03.10.2011;58.25;1875.95
04.10.2011;59.14;1918.39
05.10.2011;59.96;1953.67
06.10.2011;61.48;1989.61
07.10.2011;61.81;1973.42
10.10.2011;64.03;2040.76
11.10.2011;63.97;2041.90
12.10.2011;64.32;2062.22
13.10.2011;63.53;2056.26
14.10.2011;63.89;2091.99
17.10.2011;61.78;2051.54
18.10.2011;63.47;2093.43
19.10.2011;63.11;2067.28
20.10.2011;62.49;2076.75
21.10.2011;64.59;2115.86
24.10.2011;64.75;2143.13
25.10.2011;63.72;2100.17
26.10.2011;66.56;2122.32
27.10.2011;67.49;2195.22
28.10.2011;68.17;2196.13
31.10.2011;65.79;2141.81
01.11.2011;63.17;2081.97
02.11.2011;64.40;2115.70
03.11.2011;66.19;2155.87
04.11.2011;65.80;2142.34
07.11.2011;66.29;2156.00
08.11.2011;66.65;2182.61
09.11.2011;64.55;2102.72
10.11.2011;64.83;2121.14
11.11.2011;66.92;2162.48
14.11.2011;67.94;2142.09
15.11.2011;67.94;2152.80
16.11.2011;66.34;2117.64
17.11.2011;66.09;2082.10
18.11.2011;67.46;2081.42
21.11.2011;65.56;2042.71
22.11.2011;64.35;2034.41
23.11.2011;62.36;1989.54
25.11.2011;62.78;1984.50
28.11.2011;64.99;2042.80
29.11.2011;65.26;2048.06
30.11.2011;68.69;2137.08
01.12.2011;70.98;2133.07
02.12.2011;71.30;2132.64
05.12.2011;71.09;2154.68
06.12.2011;70.87;2157.10
07.12.2011;70.60;2162.07
08.12.2011;70.17;2116.41
09.12.2011;71.93;2152.15
12.12.2011;70.90;2120.15
13.12.2011;70.90;2102.15
14.12.2011;69.94;2078.51
15.12.2011;70.61;2085.44
16.12.2011;71.01;2092.18
19.12.2011;70.16;2067.67
20.12.2011;72.44;2129.67
21.12.2011;73.59;2133.86
22.12.2011;74.29;2152.04
23.12.2011;73.97;2171.50
27.12.2011;74.27;2171.71
28.12.2011;73.26;2145.09
29.12.2011;74.11;2168.12
30.12.2011;73.35;2158.94
03.01.2012;74.22;2192.40
04.01.2012;74.33;2193.28
05.01.2012;73.53;2199.73
06.01.2012;73.98;2194.98
09.01.2012;74.53;2200.00
10.01.2012;75.00;2219.58
11.01.2012;74.74;2220.48
12.01.2012;75.51;2225.74
13.01.2012;74.60;2214.73
17.01.2012;75.24;2222.59
18.01.2012;75.06;2247.64
19.01.2012;75.56;2258.80
20.01.2012;75.52;2260.37
23.01.2012;75.51;2261.47
24.01.2012;75.36;2259.22
25.01.2012;75.82;2278.83
26.01.2012;75.31;2265.84
27.01.2012;74.55;2262.35
30.01.2012;74.16;2256.72
31.01.2012;74.18;2255.69
01.02.2012;75.37;2276.24
02.02.2012;75.22;2278.92
03.02.2012;76.34;2312.49
06.02.2012;75.46;2311.55
07.02.2012;75.20;2316.27
08.02.2012;75.46;2322.11
09.02.2012;75.90;2325.56
10.02.2012;74.95;2309.60
13.02.2012;74.85;2325.81
14.02.2012;75.56;2324.00
15.02.2012;75.21;2312.28
16.02.2012;75.27;2338.12
17.02.2012;75.35;2343.67
21.02.2012;75.72;2345.41
22.02.2012;76.06;2337.67
23.02.2012;75.85;2348.11
24.02.2012;76.06;2352.34
27.02.2012;75.21;2355.74
28.02.2012;75.16;2364.03
29.02.2012;74.95;2353.23
01.03.2012;75.08;2367.87
02.03.2012;74.90;2360.28
05.03.2012;74.13;2351.28
06.03.2012;72.56;2315.21
07.03.2012;73.52;2331.89
08.03.2012;74.17;2355.01
09.03.2012;73.29;2363.56
12.03.2012;73.60;2364.10
13.03.2012;74.31;2407.79
14.03.2012;75.23;2404.98
15.03.2012;75.43;2419.37
16.03.2012;75.20;2422.09
19.03.2012;75.40;2431.73
20.03.2012;75.14;2424.46
21.03.2012;75.01;2420.02
22.03.2012;73.92;2402.71
23.03.2012;73.97;2410.16
26.03.2012;75.18;2443.64
27.03.2012;74.81;2437.01
28.03.2012;74.33;2425.55
29.03.2012;74.08;2421.70
30.03.2012;74.37;2430.67
02.04.2012;75.17;2449.08
03.04.2012;74.65;2439.89
04.04.2012;73.67;2415.05
05.04.2012;73.59;2414.40
09.04.2012;72.43;2387.03
10.04.2012;70.60;2346.27
11.04.2012;71.77;2364.09
12.04.2012;73.50;2396.69
13.04.2012;72.92;2366.84
16.04.2012;72.68;2365.65
17.04.2012;74.09;2402.29
18.04.2012;73.71;2392.57
19.04.2012;73.10;2378.48
20.04.2012;73.55;2381.32
23.04.2012;72.86;2361.35
24.04.2012;73.21;2370.04
25.04.2012;77.08;2402.71
26.04.2012;76.99;2418.89
27.04.2012;77.27;2424.78
30.04.2012;76.80;2415.42
01.05.2012;77.25;2429.10
02.05.2012;77.26;2423.29
03.05.2012;76.83;2405.17
04.05.2012;75.84;2366.39
07.05.2012;75.96;2367.26
08.05.2012;75.40;2357.45
09.05.2012;74.05;2342.31
10.05.2012;73.80;2348.93
11.05.2012;73.56;2341.23
14.05.2012;73.12;2315.45
15.05.2012;72.58;2302.56
16.05.2012;72.35;2293.21
17.05.2012;69.73;2258.93
18.05.2012;69.15;2242.25
21.05.2012;71.78;2278.24
22.05.2012;71.48;2279.40
23.05.2012;71.57;2283.36
24.05.2012;71.39;2286.87
25.05.2012;70.00;2281.92
29.05.2012;70.40;2307.57
30.05.2012;69.39;2275.19
31.05.2012;69.61;2270.25
01.06.2012;67.24;2214.41
04.06.2012;67.50;2214.70
05.06.2012;67.58;2227.45
06.06.2012;69.02;2279.42
07.06.2012;69.95;2279.28
08.06.2012;69.94;2297.82
11.06.2012;70.11;2268.94
12.06.2012;72.58;2295.40
13.06.2012;72.06;2280.13
14.06.2012;71.85;2304.83
15.06.2012;71.99;2328.66
18.06.2012;71.90;2332.07
19.06.2012;72.92;2355.01
20.06.2012;73.01;2351.14
21.06.2012;71.37;2299.16
22.06.2012;71.96;2315.65
25.06.2012;71.05;2278.98
26.06.2012;70.93;2289.86
27.06.2012;71.87;2310.98
28.06.2012;71.58;2306.22
29.06.2012;74.30;2363.79
02.07.2012;73.18;2369.75
03.07.2012;74.27;2385.06
05.07.2012;74.44;2373.91
06.07.2012;73.69;2352.34
09.07.2012;74.03;2348.52
10.07.2012;73.22;2329.46
11.07.2012;71.52;2329.71
12.07.2012;71.71;2318.09
13.07.2012;73.51;2356.40
16.07.2012;72.97;2350.94
17.07.2012;73.11;2368.36
18.07.2012;73.89;2384.54
19.07.2012;74.86;2391.27
20.07.2012;73.89;2367.26
23.07.2012;72.91;2346.22
24.07.2012;72.03;2325.02
25.07.2012;74.03;2324.33
26.07.2012;74.91;2362.85
27.07.2012;75.51;2408.07
30.07.2012;74.86;2406.99
31.07.2012;73.91;2396.62
01.08.2012;72.77;2389.73
02.08.2012;71.99;2372.31
03.08.2012;72.81;2417.77
06.08.2012;72.89;2423.46
07.08.2012;74.46;2435.88
08.08.2012;74.60;2438.16
09.08.2012;74.28;2440.23
10.08.2012;74.21;2445.64
13.08.2012;74.19;2443.05
14.08.2012;73.81;2443.16
15.08.2012;73.07;2446.82
16.08.2012;73.64;2464.38
17.08.2012;73.91;2469.00
20.08.2012;73.83;2468.99
21.08.2012;73.27;2460.41
22.08.2012;72.80;2461.12
23.08.2012;70.36;2441.29
24.08.2012;71.09;2457.40
27.08.2012;71.38;2456.22
28.08.2012;71.52;2454.39
29.08.2012;71.44;2457.05
30.08.2012;70.82;2438.20
31.08.2012;71.40;2450.60
04.09.2012;70.87;2447.80
05.09.2012;71.92;2445.81
06.09.2012;72.82;2496.12
07.09.2012;72.89;2506.37
10.09.2012;71.08;2491.11
11.09.2012;71.27;2498.95
12.09.2012;70.96;2504.84
13.09.2012;71.58;2546.03
14.09.2012;71.28;2556.13
17.09.2012;69.92;2548.26
18.09.2012;70.45;2545.05
19.09.2012;69.90;2548.11
20.09.2012;69.85;2547.11
21.09.2012;69.97;2546.92
24.09.2012;70.03;2541.23
25.09.2012;69.38;2514.83
26.09.2012;70.25;2500.92
27.09.2012;70.10;2525.23
28.09.2012;69.60;2513.93
01.10.2012;70.01;2520.71
02.10.2012;69.53;2523.08
03.10.2012;69.86;2532.79
04.10.2012;69.94;2550.98
05.10.2012;70.89;2551.03
08.10.2012;70.57;2542.21
09.10.2012;70.64;2517.14
10.10.2012;70.34;2501.75
11.10.2012;70.83;2502.66
12.10.2012;71.85;2495.28
15.10.2012;72.25;2515.44
16.10.2012;73.48;2541.28
17.10.2012;73.63;2552.05
18.10.2012;74.26;2545.95
19.10.2012;74.01;2503.80
22.10.2012;73.70;2504.96
23.10.2012;72.82;2468.78
24.10.2012;72.71;2461.18
25.10.2012;71.54;2468.60
26.10.2012;71.11;2466.80
31.10.2012;70.44;2467.51
01.11.2012;70.79;2494.67
02.11.2012;70.05;2471.30
05.11.2012;70.41;2476.94
06.11.2012;72.02;2496.46
07.11.2012;70.11;2439.48
08.11.2012;70.98;2409.72
09.11.2012;73.25;2413.92
12.11.2012;73.69;2414.24
13.11.2012;73.36;2405.38
14.11.2012;71.29;2372.94
15.11.2012;71.04;2369.32
16.11.2012;70.77;2381.02
19.11.2012;71.96;2428.47
20.11.2012;72.54;2430.29
21.11.2012;73.15;2435.97
23.11.2012;73.74;2468.06
26.11.2012;74.27;2463.12
27.11.2012;74.49;2450.48
28.11.2012;74.09;2470.47
29.11.2012;74.12;2481.42
30.11.2012;74.28;2481.82
03.12.2012;74.02;2470.07
04.12.2012;74.05;2465.90
05.12.2012;73.87;2470.59
06.12.2012;73.98;2479.40
07.12.2012;74.64;2486.84
10.12.2012;75.53;2487.78
11.12.2012;75.82;2504.08
12.12.2012;75.47;2505.76
13.12.2012;74.32;2490.56
14.12.2012;74.02;2480.36
17.12.2012;74.65;2509.84
18.12.2012;75.52;2538.72
19.12.2012;75.51;2519.54
20.12.2012;76.20;2533.91
21.12.2012;76.17;2510.32
24.12.2012;75.97;2504.51
26.12.2012;76.02;2492.54
27.12.2012;75.83;2489.97
28.12.2012;74.69;2462.71
31.12.2012;75.36;2504.44
02.01.2013;77.07;2568.55
03.01.2013;77.47;2563.19
04.01.2013;77.69;2575.66
07.01.2013;76.13;2567.63
08.01.2013;74.13;2560.17
09.01.2013;76.76;2567.02
10.01.2013;77.09;2586.52
11.01.2013;75.16;2586.69
14.01.2013;76.55;2584.27
15.01.2013;76.94;2587.20
16.01.2013;74.34;2588.02
17.01.2013;75.26;2602.64
18.01.2013;75.04;2611.54
22.01.2013;74.16;2623.22
23.01.2013;74.29;2627.23
24.01.2013;75.32;2627.33
25.01.2013;75.03;2641.64
28.01.2013;74.00;2636.83
29.01.2013;73.65;2650.43
30.01.2013;74.59;2640.77
31.01.2013;73.87;2634.16
01.02.2013;74.87;2660.70
04.02.2013;75.21;2630.05
05.02.2013;75.89;2657.76
06.02.2013;76.29;2659.55
07.02.2013;77.43;2655.84
08.02.2013;76.56;2670.85
11.02.2013;75.87;2669.37
12.02.2013;75.99;2673.77
13.02.2013;74.78;2676.60
14.02.2013;74.93;2678.77
15.02.2013;75.03;2676.21
19.02.2013;74.65;2696.26
20.02.2013;74.78;2662.94
21.02.2013;76.01;2646.75
22.02.2013;76.66;2670.36
25.02.2013;75.03;2621.46
26.02.2013;75.65;2637.89
27.02.2013;77.36;2672.11
28.02.2013;76.90;2669.92
01.03.2013;77.28;2676.18
04.03.2013;77.09;2688.54
05.03.2013;78.66;2714.35
06.03.2013;79.08;2718.07
07.03.2013;81.05;2723.27
08.03.2013;81.23;2735.67
11.03.2013;82.94;2744.81
12.03.2013;84.16;2738.35
13.03.2013;84.75;2742.87
14.03.2013;84.62;2758.30
15.03.2013;86.43;2753.82
18.03.2013;85.18;2738.68
19.03.2013;85.51;2732.09
20.03.2013;85.37;2750.42
21.03.2013;84.33;2727.69
22.03.2013;84.82;2747.25
25.03.2013;84.85;2738.08
26.03.2013;86.62;2760.32
27.03.2013;86.20;2758.85
28.03.2013;85.85;2770.05
01.04.2013;85.25;2757.83
02.04.2013;84.09;2772.11
03.04.2013;84.36;2743.38
04.04.2013;84.95;2754.67
05.04.2013;86.17;2742.86
08.04.2013;86.75;2761.05
09.04.2013;87.21;2770.84
10.04.2013;87.82;2804.81
11.04.2013;88.53;2815.02
12.04.2013;88.89;2807.10
15.04.2013;86.77;2742.63
16.04.2013;86.89;2781.86
17.04.2013;86.69;2742.01
18.04.2013;86.12;2723.72
19.04.2013;87.96;2747.94
22.04.2013;86.94;2760.80
23.04.2013;88.18;2789.56
24.04.2013;90.83;2789.93
25.04.2013;91.67;2801.28
26.04.2013;92.85;2796.24
29.04.2013;91.90;2816.39
30.04.2013;91.41;2823.42
01.05.2013;91.18;2797.28
02.05.2013;92.21;2823.82
03.05.2013;93.74;2853.88
06.05.2013;94.19;2859.34
07.05.2013;94.79;2874.46
08.05.2013;94.04;2887.61
09.05.2013;94.61;2878.30
10.05.2013;94.24;2890.77
13.05.2013;94.76;2891.17
14.05.2013;96.11;2921.12
15.05.2013;97.02;2936.98
16.05.2013;96.58;2922.40
17.05.2013;98.92;2952.56
20.05.2013;98.72;2950.53
21.05.2013;98.75;2955.69
22.05.2013;97.93;2931.58
23.05.2013;99.75;2923.43
24.05.2013;100.00;2921.88
28.05.2013;100.11;2940.45
29.05.2013;99.09;2920.18
30.05.2013;100.54;2931.39
31.05.2013;99.02;2889.46
03.06.2013;100.74;2906.91
04.06.2013;99.61;2891.02
05.06.2013;98.49;2851.89
06.06.2013;99.76;2876.50
07.06.2013;102.49;2913.46
10.06.2013;102.24;2912.63
11.06.2013;101.75;2883.07
12.06.2013;100.88;2859.62
13.06.2013;102.16;2902.32
14.06.2013;101.83;2885.24
17.06.2013;103.03;2907.12
18.06.2013;104.08;2929.81
19.06.2013;102.25;2889.25
20.06.2013;99.64;2817.44
21.06.2013;99.98;2824.97
24.06.2013;97.85;2790.66
25.06.2013;98.67;2817.44
26.06.2013;100.75;2845.04
27.06.2013;103.15;2862.92
28.06.2013;102.44;2850.66
01.07.2013;103.24;2866.41
02.07.2013;101.47;2865.48
03.07.2013;102.89;2867.85
05.07.2013;104.20;2897.12
08.07.2013;104.37;2913.20
09.07.2013;104.68;2934.31
10.07.2013;105.50;2934.97
11.07.2013;106.88;2975.06
12.07.2013;101.87;2984.24
15.07.2013;105.66;2988.35
16.07.2013;104.23;2977.26
17.07.2013;104.79;2985.85
18.07.2013;107.63;3001.21
19.07.2013;106.96;3006.13
22.07.2013;106.86;3012.30
23.07.2013;107.79;3006.72
24.07.2013;106.95;2995.30
25.07.2013;106.70;3003.01
26.07.2013;105.60;3005.51
29.07.2013;104.81;2994.45
30.07.2013;105.73;2995.68
31.07.2013;105.10;2995.72
01.08.2013;106.70;3033.59
02.08.2013;107.90;3038.63
05.08.2013;107.50;3034.43
06.08.2013;107.04;3017.16
07.08.2013;106.42;3006.63
08.08.2013;105.84;3019.00
09.08.2013;105.33;3008.79
12.08.2013;104.24;3005.42
13.08.2013;106.23;3014.43
14.08.2013;104.16;2999.42
15.08.2013;102.73;2957.08
16.08.2013;103.47;2947.46
19.08.2013;104.72;2930.27
20.08.2013;104.63;2941.58
21.08.2013;103.91;2924.73
22.08.2013;105.14;2949.96
23.08.2013;105.48;2962.06
26.08.2013;105.53;2950.13
27.08.2013;103.21;2903.29
28.08.2013;103.27;2911.83
29.08.2013;104.93;2917.96
30.08.2013;103.92;2908.96
03.09.2013;105.01;2921.23
04.09.2013;106.37;2945.62
05.09.2013;106.65;2949.27
06.09.2013;106.07;2949.80
09.09.2013;107.19;2979.45
10.09.2013;108.17;3001.36
11.09.2013;109.23;3010.94
12.09.2013;109.80;3001.62
13.09.2013;111.33;3009.79
16.09.2013;115.67;3026.94
17.09.2013;117.11;3039.75
18.09.2013;118.40;3076.81
19.09.2013;119.04;3071.61
20.09.2013;116.63;3049.47
23.09.2013;117.51;3035.09
24.09.2013;119.00;3027.52
25.09.2013;118.51;3019.31
26.09.2013;119.38;3030.41
27.09.2013;118.74;3018.24
30.09.2013;117.50;3000.18
01.10.2013;117.75;3024.38
02.10.2013;117.84;3022.95
03.10.2013;115.24;2995.81
04.10.2013;117.20;3017.05
07.10.2013;116.69;2991.39
08.10.2013;115.44;2955.41
09.10.2013;114.47;2957.40
10.10.2013;118.90;3022.43
11.10.2013;117.98;3041.43
14.10.2013;119.46;3053.84
15.10.2013;118.18;3032.27
16.10.2013;120.34;3074.54
17.10.2013;122.29;3095.42
18.10.2013;122.52;3115.77
21.10.2013;121.47;3116.09
22.10.2013;122.48;3133.98
23.10.2013;129.02;3119.20
24.10.2013;128.98;3129.41
25.10.2013;131.19;3143.16
28.10.2013;129.88;3147.36
29.10.2013;129.66;3165.11
30.10.2013;129.68;3149.93
31.10.2013;130.50;3138.09
01.11.2013;133.03;3147.21
04.11.2013;132.79;3158.47
05.11.2013;133.57;3149.96
06.11.2013;133.09;3165.13
07.11.2013;131.51;3124.12
08.11.2013;133.49;3166.11
11.11.2013;132.53;3168.41
12.11.2013;132.33;3161.10
13.11.2013;133.17;3187.64
14.11.2013;135.09;3203.65
15.11.2013;136.08;3217.20
18.11.2013;138.36;3205.46
19.11.2013;136.98;3199.51
20.11.2013;132.45;3188.04
21.11.2013;132.93;3214.16
22.11.2013;135.97;3230.54
25.11.2013;133.00;3226.53
26.11.2013;134.78;3227.36
27.11.2013;134.72;3236.14
29.11.2013;134.25;3233.72
02.12.2013;134.16;3225.06
03.12.2013;132.00;3214.95
04.12.2013;131.50;3211.59
05.12.2013;132.73;3197.76
06.12.2013;135.18;3233.99
09.12.2013;134.68;3239.99
10.12.2013;133.70;3229.72
11.12.2013;132.56;3193.52
12.12.2013;132.96;3182.33
13.12.2013;133.83;3182.07
16.12.2013;134.72;3202.22
17.12.2013;135.88;3192.33
18.12.2013;135.49;3245.59
19.12.2013;135.17;3244.15
20.12.2013;136.67;3259.79
23.12.2013;136.40;3277.62
24.12.2013;136.83;3287.55
26.12.2013;138.27;3303.15
27.12.2013;136.90;3302.66
30.12.2013;135.92;3302.30
31.12.2013;136.49;3315.59
02.01.2014;136.67;3286.69
03.01.2014;137.62;3285.68
06.01.2014;138.41;3277.48
07.01.2014;140.51;3297.45
08.01.2014;140.82;3297.74
09.01.2014;142.13;3298.87
10.01.2014;141.90;3306.49
13.01.2014;140.70;3265.27
14.01.2014;140.01;3300.61
15.01.2014;140.62;3317.75
16.01.2014;140.21;3313.36
17.01.2014;140.46;3300.51
21.01.2014;141.67;3309.74
22.01.2014;144.37;3312.04
23.01.2014;141.31;3282.64
24.01.2014;136.65;3214.13
27.01.2014;137.36;3198.57
28.01.2014;137.09;3218.21
29.01.2014;129.78;3185.70
30.01.2014;126.53;3221.78
31.01.2014;125.26;3200.95
03.02.2014;123.08;3127.87
04.02.2014;122.04;3151.94
05.02.2014;121.40;3146.49
06.02.2014;122.67;3187.25
07.02.2014;127.02;3229.64
10.02.2014;127.16;3234.79
11.02.2014;130.16;3270.74
12.02.2014;128.13;3271.47
13.02.2014;129.50;3290.82
14.02.2014;130.16;3306.92
18.02.2014;130.63;3311.27
19.02.2014;128.39;3289.83
20.02.2014;129.56;3310.27
21.02.2014;128.28;3304.36
24.02.2014;129.59;3324.84
25.02.2014;126.78;3320.43
26.02.2014;126.61;3321.15
27.02.2014;128.56;3338.05
28.02.2014;128.92;3347.38
03.03.2014;128.22;3322.85
04.03.2014;130.23;3373.64
05.03.2014;128.79;3374.10
06.03.2014;128.86;3380.49
07.03.2014;128.54;3382.57
10.03.2014;126.89;3381.22
11.03.2014;125.67;3364.17
12.03.2014;124.43;3366.07
